method,sigma_y,dim_x,dim_y,seed,sliced_wasserstein_distance
diffusion_posterior_sampling,1.0,80,1,1,9.661695363517932
diffusion_posterior_sampling,1.0,80,1,10,0.8621534047057374
diffusion_posterior_sampling,1.0,80,1,100,2.359178411546354
diffusion_posterior_sampling,1.0,80,1,1000,6.029902722986006
diffusion_posterior_sampling,1.0,80,2,0,0.2643350248709217
diffusion_posterior_sampling,1.0,80,2,1,3.787280653577142
diffusion_posterior_sampling,1.0,80,2,10,6.1651384011639205
diffusion_posterior_sampling,1.0,80,2,100,2.2482609564746223
diffusion_posterior_sampling,1.0,80,2,1000,0.3033176956608607
diffusion_posterior_sampling,1.0,80,4,0,0.6510756111003907
diffusion_posterior_sampling,1.0,80,4,1,2.530330057883348
diffusion_posterior_sampling,1.0,80,4,10,1.062335817137201
diffusion_posterior_sampling,1.0,80,4,100,0.5501567851320494
diffusion_posterior_sampling,1.0,80,4,1000,2.415318159580884
mcg_diff,0.01,8,1,0,0.9201940079536922
mcg_diff,0.01,8,1,1,1.16451820105897
mcg_diff,0.01,8,1,10,0.5788489474399061
mcg_diff,0.01,8,1,100,1.3863874857301468
mcg_diff,0.01,8,1,1000,0.5043465320612117
mcg_diff,0.01,8,2,0,0.27056564135607813
mcg_diff,0.01,8,2,1,0.3808722417576551
mcg_diff,0.01,8,2,10,0.7220412400329462
mcg_diff,0.01,8,2,100,0.2783566650205344
mcg_diff,0.01,8,2,1000,0.05639101092768309
mcg_diff,0.01,8,4,0,0.07770549496294554
mcg_diff,0.01,8,4,1,0.0566983011040367
mcg_diff,0.01,8,4,10,0.23960520958289744
mcg_diff,0.01,8,4,100,0.13382239691553122
mcg_diff,0.01,8,4,1000,0.1546515167977352
mcg_diff,0.01,80,1,0,1.7319846253826283
mcg_diff,0.01,80,1,1,0.2978210362544671
mcg_diff,0.01,80,1,10,1.8316019878933334
mcg_diff,0.01,80,1,100,0.8356542286374197
mcg_diff,0.01,80,1,1000,1.242908281463611
mcg_diff,0.01,80,2,0,0.12712688727598706
mcg_diff,0.01,80,2,1,4.514011490533933
mcg_diff,0.01,80,2,10,2.83336703252052
mcg_diff,0.01,80,2,100,0.09767164194460703
mcg_diff,0.01,80,2,1000,0.12729751134354825
mcg_diff,0.01,80,4,0,0.3052018252846949
mcg_diff,0.01,80,4,1,4.139191767695294
mcg_diff,0.01,80,4,10,1.7701091282102115
mcg_diff,0.01,80,4,100,1.080613304611527
mcg_diff,0.01,80,4,1000,0.8527085708350621
mcg_diff,0.1,8,1,0,0.5367065152779558
mcg_diff,0.1,8,1,1,1.4130998584601706
mcg_diff,0.1,8,1,10,0.4631049738092349
mcg_diff,0.1,8,1,100,1.4060264592879692
mcg_diff,0.1,8,1,1000,0.17440376421324466
mcg_diff,0.1,8,2,0,0.3694894089465878
mcg_diff,0.1,8,2,1,0.7328434276106154
mcg_diff,0.1,8,2,10,1.2791013878856743
mcg_diff,0.1,8,2,100,2.23999094982599
mcg_diff,0.1,8,2,1000,0.05952018302129982
mcg_diff,0.1,8,4,0,0.26445208353140603
mcg_diff,0.1,8,4,1,0.12888162540762896
mcg_diff,0.1,8,4,10,0.1766449143113482
mcg_diff,0.1,8,4,100,0.17244762280380257
mcg_diff,0.1,8,4,1000,0.3674282111720371
mcg_diff,0.1,80,1,0,1.4155801683453704
mcg_diff,0.1,80,1,1,0.7005814624578542
mcg_diff,0.1,80,1,10,2.1346565132097144
mcg_diff,0.1,80,1,100,1.0766011237207844
mcg_diff,0.1,80,1,1000,0.39215780480017004
mcg_diff,0.1,80,2,0,0.13089257407330457
mcg_diff,0.1,80,2,1,5.9849336615373
mcg_diff,0.1,80,2,10,3.0612971407371385
mcg_diff,0.1,80,2,100,1.528300534030735
mcg_diff,0.1,80,2,1000,0.17645270999920484
mcg_diff,0.1,80,4,0,0.3224435674905366
mcg_diff,0.1,80,4,1,4.416464619817218
mcg_diff,0.1,80,4,10,6.34817263576386
mcg_diff,0.1,80,4,100,1.2440184789176563
mcg_diff,0.1,80,4,1000,0.8676433287592614
mcg_diff,1.0,8,1,0,0.440160454880147
mcg_diff,1.0,8,1,1,0.6468543555676194
mcg_diff,1.0,8,1,10,1.473066934203644
mcg_diff,1.0,8,1,100,1.8402889809242464
mcg_diff,1.0,8,1,1000,1.026008459382745
mcg_diff,1.0,8,2,0,0.8429272284390117
mcg_diff,1.0,8,2,1,2.1427471590031475
mcg_diff,1.0,8,2,10,0.9375927480245735
mcg_diff,1.0,8,2,100,0.9439395528366833
mcg_diff,1.0,8,2,1000,0.07141557035503138
mcg_diff,1.0,8,4,0,0.18450904443283317
mcg_diff,1.0,8,4,1,0.08154048563034605
mcg_diff,1.0,8,4,10,0.06102836345094009
mcg_diff,1.0,8,4,100,0.08741170339822003
mcg_diff,1.0,8,4,1000,0.17975427609381855
mcg_diff,1.0,80,1,0,0.7362615545862433
mcg_diff,1.0,80,1,1,1.471063699301194
mcg_diff,1.0,80,1,10,1.3339487973196098
mcg_diff,1.0,80,1,100,2.2462075108243202
mcg_diff,1.0,80,1,1000,1.8580850257148318
mcg_diff,1.0,80,2,0,0.1789056492016361
mcg_diff,1.0,80,2,1,4.051948742630882
mcg_diff,1.0,80,2,10,1.5191844457635824
mcg_diff,1.0,80,2,100,0.5029302661358531
mcg_diff,1.0,80,2,1000,0.1071024672197285
mcg_diff,1.0,80,4,0,1.9644934158424294
mcg_diff,1.0,80,4,1,7.066889642552563
mcg_diff,1.0,80,4,10,3.571812669306765
